Nazwa zmiennej;Jednostka terytorialna;Sposób prezentacji;Rok;Wartoœæ;Flaga
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;1991;170,3;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;1992;143,0;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;1993;135,3;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;1994;132,2;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;1995;127,8;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;1996;119,9;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;1997;114,9;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;1998;111,8;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;1999;107,3;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2000;110,1;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2001;105,5;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2002;101,9;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2003;100,8;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2004;103,5;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2005;102,1;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2006;101,0;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2007;102,5;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2008;104,2;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2009;103,5;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2010;102,6;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2011;104,3;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2012;103,7;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2013;100,9;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2014;100,0;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2015;99,1;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2016;99,4;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2017;102,0;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2018;101,6;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2019;102,3;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2020;103,4;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2021;105,1;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2022;114,4;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2023;111,4;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Rok poprzedni = 100;2024;103,6;
